# wave number [cm^-1];  intensity;  intensity^2
1520.15;  6.61482E-06;  4.37558E-11
1531.01;  6.63035E-06;  4.39615E-11
1541.87;  6.28559E-06;  3.95087E-11
1552.73;  5.55628E-06;  3.08722E-11
1563.58;  4.5227E-06;  2.04549E-11
1574.44;  3.34032E-06;  1.11577E-11
1585.3;  2.19024E-06;  4.79716E-12
1596.16;  1.22757E-06;  1.50692E-12
1607.02;  5.43737E-07;  2.9565E-13
1617.88;  1.53022E-07;  2.34157E-14
1628.73;  3.73373E-09;  1.39407E-17
1639.59;  6.76227E-09;  4.57282E-17
1650.45;  6.93247E-08;  4.80592E-15
1661.31;  1.22119E-07;  1.4913E-14
1672.17;  1.32372E-07;  1.75223E-14
1683.02;  1.01523E-07;  1.0307E-14
1693.88;  5.19211E-08;  2.6958E-15
1704.74;  9.93099E-09;  9.86247E-17
1715.6;  -7.41185E-09;  5.49355E-17
1726.46;  1.99121E-09;  3.96492E-18
1737.32;  2.77184E-08;  7.68309E-16
1748.17;  5.4247E-08;  2.94274E-15
1759.03;  6.90174E-08;  4.7634E-15
1769.89;  6.74583E-08;  4.55062E-15
1780.75;  5.33982E-08;  2.85137E-15
1791.61;  3.56341E-08;  1.26979E-15
1802.46;  2.29639E-08;  5.2734E-16
1813.32;  2.02106E-08;  4.08467E-16
1824.18;  2.68177E-08;  7.19191E-16
1835.04;  3.81204E-08;  1.45317E-15
1845.9;  4.81711E-08;  2.32045E-15
1856.76;  5.25217E-08;  2.75853E-15
1867.61;  4.97234E-08;  2.47241E-15
1878.47;  4.11707E-08;  1.69502E-15
1889.33;  2.97656E-08;  8.85993E-16
1900.19;  1.83407E-08;  3.36381E-16
1911.05;  8.65442E-09;  7.4899E-17
1921.91;  1.29241E-09;  1.67033E-18
1932.76;  -3.76818E-09;  1.41992E-17
1943.62;  -6.46686E-09;  4.18203E-17
1954.48;  -6.3597E-09;  4.04458E-17
1965.34;  -2.86301E-09;  8.19681E-18
1976.2;  4.16844E-09;  1.73759E-17
1987.05;  1.39423E-08;  1.94388E-16
1997.91;  2.46897E-08;  6.0958E-16
2008.77;  3.41446E-08;  1.16586E-15
2019.63;  4.03297E-08;  1.62648E-15
2030.49;  4.22348E-08;  1.78378E-15
2041.35;  4.00556E-08;  1.60445E-15
2052.2;  3.49012E-08;  1.21809E-15
2063.06;  2.81698E-08;  7.9354E-16
2073.92;  2.09503E-08;  4.38915E-16
2084.78;  1.37746E-08;  1.89738E-16
2095.64;  6.82334E-09;  4.6558E-17
2106.5;  4.20004E-10;  1.76403E-19
2117.35;  -4.51778E-09;  2.04103E-17
2128.21;  -6.39545E-09;  4.09017E-17
2139.07;  -3.35097E-09;  1.1229E-17
2149.93;  5.97743E-09;  3.57297E-17
2160.79;  2.16684E-08;  4.69518E-16
2171.64;  4.20996E-08;  1.77238E-15
2182.5;  6.41258E-08;  4.11211E-15
2193.36;  8.38116E-08;  7.02438E-15
2204.22;  9.74468E-08;  9.49588E-15
2215.08;  1.02428E-07;  1.04914E-14
2225.94;  9.76678E-08;  9.539E-15
2236.79;  8.34597E-08;  6.96551E-15
2247.65;  6.09536E-08;  3.71534E-15
2258.51;  3.17119E-08;  1.00564E-15
2269.37;  -2.20906E-09;  4.87995E-18
2280.23;  -3.73947E-08;  1.39837E-15
2291.09;  -6.7533E-08;  4.5607E-15
2301.94;  -8.17899E-08;  6.68959E-15
2312.8;  -6.39861E-08;  4.09422E-15
2323.66;  6.4959E-09;  4.21967E-17
2334.52;  1.51539E-07;  2.29641E-14
2345.38;  3.89042E-07;  1.51354E-13
2356.23;  7.26689E-07;  5.28077E-13
2367.09;  1.15656E-06;  1.33762E-12
2377.95;  1.65266E-06;  2.73127E-12
2388.81;  2.17297E-06;  4.72182E-12
2399.67;  2.66646E-06;  7.11E-12
2410.53;  3.0837E-06;  9.50922E-12
2421.38;  3.38864E-06;  1.14829E-11
2432.24;  3.56776E-06;  1.27289E-11
2443.1;  3.63368E-06;  1.32036E-11
2453.96;  3.62146E-06;  1.3115E-11
2464.82;  3.57836E-06;  1.28047E-11
2475.67;  3.55003E-06;  1.26027E-11
2486.53;  3.5676E-06;  1.27278E-11
2497.39;  3.64001E-06;  1.32497E-11
2508.25;  3.75432E-06;  1.40949E-11
2519.11;  3.88375E-06;  1.50835E-11
2529.97;  4.00061E-06;  1.60049E-11
2540.82;  4.08891E-06;  1.67192E-11
2551.68;  4.15175E-06;  1.72371E-11
2562.54;  4.2101E-06;  1.77249E-11
2573.4;  4.29302E-06;  1.843E-11
2584.26;  4.42269E-06;  1.95602E-11
2595.12;  4.59971E-06;  2.11574E-11
2605.97;  4.79484E-06;  2.29905E-11
2616.83;  4.95097E-06;  2.45121E-11
2627.69;  4.99601E-06;  2.49602E-11
2638.55;  4.86323E-06;  2.3651E-11
2649.41;  4.51278E-06;  2.03652E-11
2660.26;  3.94762E-06;  1.55837E-11
2671.12;  3.21815E-06;  1.03565E-11
2681.98;  2.41365E-06;  5.82572E-12
2692.84;  1.6425E-06;  2.69779E-12
2703.7;  1.00663E-06;  1.0133E-12
2714.56;  5.77627E-07;  3.33653E-13
2725.41;  3.81059E-07;  1.45206E-13
2736.27;  3.93402E-07;  1.54765E-13
2747.13;  5.52096E-07;  3.0481E-13
2757.99;  7.7545E-07;  6.01323E-13
2768.85;  9.86447E-07;  9.73077E-13
2779.71;  1.13352E-06;  1.28487E-12
2790.56;  1.20246E-06;  1.44591E-12
2801.42;  1.21629E-06;  1.47937E-12
2812.28;  1.22365E-06;  1.49732E-12
2823.14;  1.27943E-06;  1.63695E-12
2834;  1.42384E-06;  2.02731E-12
2844.85;  1.66633E-06;  2.77666E-12
2855.71;  1.97953E-06;  3.91855E-12
2866.57;  2.30496E-06;  5.31283E-12
2877.43;  2.56899E-06;  6.59972E-12
2888.29;  2.70416E-06;  7.31246E-12
2899.15;  2.66916E-06;  7.1244E-12
2910;  2.46152E-06;  6.05908E-12
2920.86;  2.11888E-06;  4.48966E-12
2931.72;  1.70867E-06;  2.91954E-12
2942.58;  1.30941E-06;  1.71454E-12
2953.44;  9.89541E-07;  9.79191E-13
2964.29;  7.90166E-07;  6.24362E-13
2975.15;  7.16651E-07;  5.13589E-13
2986.01;  7.41096E-07;  5.49223E-13
2996.87;  8.14047E-07;  6.62672E-13
3007.73;  8.81163E-07;  7.76448E-13
3018.59;  8.99291E-07;  8.08725E-13
3029.44;  8.47153E-07;  7.17668E-13
3040.3;  7.28042E-07;  5.30045E-13
3051.16;  5.64783E-07;  3.18979E-13
3062.02;  3.89622E-07;  1.51805E-13
3072.88;  2.3303E-07;  5.4303E-14
3083.74;  1.15112E-07;  1.32507E-14
3094.59;  4.19479E-08;  1.75963E-15
3105.45;  7.13556E-09;  5.09162E-17
3116.31;  -2.97885E-09;  8.87353E-18
3127.17;  -2.87915E-09;  8.2895E-18
3138.03;  -2.74346E-09;  7.52657E-18
3148.88;  -6.14616E-09;  3.77753E-17
3159.74;  -1.08512E-08;  1.17748E-16
3170.6;  -1.17549E-08;  1.38178E-16
3181.46;  -4.40439E-09;  1.93987E-17
3192.32;  1.24443E-08;  1.54862E-16
3203.18;  3.61163E-08;  1.30438E-15
3214.03;  6.11856E-08;  3.74367E-15
3224.89;  8.17581E-08;  6.68439E-15
3235.75;  9.37601E-08;  8.79096E-15
3246.61;  9.62428E-08;  9.26267E-15
3257.47;  9.12533E-08;  8.32717E-15
3268.33;  8.24771E-08;  6.80246E-15
3279.18;  7.34012E-08;  5.38774E-15
3290.04;  6.58727E-08;  4.33921E-15
3300.9;  5.97053E-08;  3.56472E-15
3311.76;  5.34235E-08;  2.85407E-15
