# Tau [ps];  Dipole autocorrelation
0.08000000070;  -8.621575435E-08
0.08050000070;  -9.452652533E-08
0.08100000070;  -9.428941048E-08
0.08150000071;  -8.924426165E-08
0.08200000071;  -8.115913110E-08
0.08250000072;  -7.181293719E-08
0.08300000072;  -6.370613697E-08
0.08350000073;  -6.200344551E-08
0.08400000073;  -7.247740019E-08
0.08450000073;  -9.043796254E-08
0.08500000074;  -1.047195252E-07
0.08550000074;  -1.123088578E-07
0.08600000075;  -1.096800874E-07
0.08650000075;  -1.002575860E-07
0.08700000076;  -9.704195531E-08
0.08750000076;  -9.770074316E-08
0.08800000076;  -9.640215077E-08
0.08850000077;  -9.597273525E-08
0.08900000077;  -9.715400487E-08
0.08950000078;  -9.843746090E-08
0.09000000078;  -9.881946866E-08
0.09050000079;  -9.527508513E-08
0.09100000079;  -9.028351653E-08
0.09150000080;  -9.315031743E-08
0.09200000080;  -9.278684028E-08
0.09250000080;  -8.884688771E-08
0.09300000081;  -9.942670050E-08
0.09350000081;  -1.141205402E-07
0.09400000082;  -1.257126198E-07
0.09450000082;  -1.373068361E-07
0.09500000083;  -1.466054029E-07
0.09550000083;  -1.538856529E-07
0.09600000083;  -1.573144068E-07
0.09650000084;  -1.547233477E-07
0.09700000084;  -1.460766157E-07
0.09750000085;  -1.386955570E-07
0.09800000085;  -1.430142821E-07
0.09850000086;  -1.569163493E-07
0.09900000086;  -1.645234866E-07
0.09950000086;  -1.600538262E-07
0.1000000009;  -1.505325097E-07
0.1005000009;  -1.389332831E-07
0.1010000009;  -1.295297348E-07
0.1015000009;  -1.240532683E-07
0.1020000009;  -1.196951533E-07
0.1025000009;  -1.165440880E-07
0.1030000009;  -1.139030517E-07
0.1035000009;  -1.118866681E-07
0.1040000009;  -1.121612312E-07
0.1045000009;  -1.148552313E-07
0.1050000009;  -1.150395684E-07
0.1055000009;  -1.086708463E-07
0.1060000009;  -1.024640947E-07
0.1065000009;  -1.018342528E-07
0.1070000009;  -1.027584234E-07
0.1075000009;  -1.017978328E-07
0.1080000009;  -9.822793120E-08
0.1085000009;  -9.222305112E-08
0.1090000009;  -8.718647469E-08
0.1095000010;  -8.510639285E-08
0.1100000010;  -8.450973343E-08
0.1105000010;  -8.239134412E-08
0.1110000010;  -7.318152194E-08
0.1115000010;  -6.509609201E-08
0.1120000010;  -7.372660706E-08
0.1125000010;  -9.054657220E-08
0.1130000010;  -1.000655886E-07
0.1135000010;  -1.022969648E-07
0.1140000010;  -1.013835641E-07
0.1145000010;  -9.896969066E-08
0.1150000010;  -9.545122000E-08
0.1155000010;  -9.157615836E-08
0.1160000010;  -8.846192857E-08
0.1165000010;  -8.624211822E-08
0.1170000010;  -8.350273108E-08
0.1175000010;  -8.581240242E-08
0.1180000010;  -9.372309738E-08
0.1185000010;  -9.821300333E-08
0.1190000010;  -1.060889558E-07
0.1195000010;  -1.235830612E-07
0.1200000010;  -1.436515184E-07
0.1205000010;  -1.578843808E-07
0.1210000011;  -1.559609892E-07
0.1215000011;  -1.391385790E-07
0.1220000011;  -1.207480946E-07
0.1225000011;  -1.083470326E-07
0.1230000011;  -1.039526677E-07
0.1235000011;  -1.032862979E-07
0.1240000011;  -9.737261796E-08
0.1245000011;  -8.853744298E-08
0.1250000011;  -8.625422241E-08
0.1255000011;  -8.981557106E-08
0.1260000011;  -9.226400757E-08
0.1265000011;  -9.165437803E-08
0.1270000011;  -8.945877883E-08
0.1275000011;  -8.706721277E-08
0.1280000011;  -8.348374708E-08
0.1285000011;  -7.773850017E-08
0.1290000011;  -7.212709027E-08
0.1295000011;  -6.747692199E-08
0.1300000011;  -6.231414670E-08
0.1305000011;  -5.556320285E-08
0.1310000011;  -4.725545485E-08
0.1315000011;  -4.071026350E-08
0.1320000011;  -4.076179817E-08
0.1325000012;  -4.675919283E-08
0.1330000012;  -5.527306496E-08
0.1335000012;  -6.530488419E-08
0.1340000012;  -7.059976575E-08
0.1345000012;  -6.264603413E-08
0.1350000012;  -4.415925049E-08
0.1355000012;  -2.566643294E-08
0.1360000012;  -1.329294196E-08
0.1365000012;  -3.154814063E-09
0.1370000012;  2.114683133E-09
0.1375000012;  -8.393508854E-09
0.1380000012;  -2.629109452E-08
0.1385000012;  -3.603485789E-08
0.1390000012;  -3.740426991E-08
0.1395000012;  -3.830673341E-08
0.1400000012;  -4.064867908E-08
0.1405000012;  -3.881622443E-08
0.1410000012;  -3.210249854E-08
0.1415000012;  -2.383151307E-08
0.1420000012;  -1.613534301E-08
0.1425000012;  -1.093883713E-08
0.1430000012;  -9.951840035E-09
0.1435000012;  -1.475280816E-08
0.1440000013;  -2.337851679E-08
0.1445000013;  -3.346173077E-08
0.1450000013;  -5.374706641E-08
0.1455000013;  -8.869227242E-08
0.1460000013;  -1.018452808E-07
0.1465000013;  -7.452416759E-08
0.1470000013;  -4.532228950E-08
0.1475000013;  -2.710958933E-08
0.1480000013;  -8.668921437E-09
0.1485000013;  8.524434893E-09
0.1490000013;  2.072444770E-08
0.1495000013;  2.496464102E-08
0.1500000013;  2.067457723E-08
0.1505000013;  1.365614472E-08
0.1510000013;  1.257087878E-08
0.1515000013;  1.247693509E-08
0.1520000013;  8.229087391E-09
0.1525000013;  -2.266488509E-10
0.1530000013;  -9.068853560E-09
0.1535000013;  -7.906232985E-09
0.1540000013;  -1.565288991E-09
0.1545000013;  3.980642350E-09
0.1550000013;  1.377361650E-08
0.1555000014;  2.822074881E-08
0.1560000014;  4.461140746E-08
0.1565000014;  5.899948616E-08
0.1570000014;  6.421316709E-08
0.1575000014;  5.363395743E-08
0.1580000014;  2.278975208E-08
0.1585000014;  -1.418379248E-08
0.1590000014;  -2.478082042E-08
0.1595000014;  -2.544806153E-09
0.1600000014;  2.790307417E-08
0.1605000014;  4.730113401E-08
0.1610000014;  5.825825099E-08
0.1615000014;  6.860014613E-08
0.1620000014;  7.397807190E-08
0.1625000014;  6.617927840E-08
0.1630000014;  4.938012169E-08
0.1635000014;  3.684246102E-08
0.1640000014;  3.465738637E-08
0.1645000014;  3.949204282E-08
0.1650000014;  4.786368056E-08
0.1655000014;  5.664032624E-08
0.1660000014;  5.895298319E-08
0.1665000014;  5.644945774E-08
0.1670000015;  5.945288182E-08
0.1675000015;  6.962488136E-08
0.1680000015;  8.206935290E-08
0.1685000015;  9.359215831E-08
0.1690000015;  1.021190228E-07
0.1695000015;  1.048769124E-07
0.1700000015;  9.236231250E-08
0.1705000015;  3.768371363E-08
0.1710000015;  -4.175969807E-08
0.1715000015;  -6.310632158E-08
0.1720000015;  -1.404824960E-08
0.1725000015;  4.434947844E-08
0.1730000015;  8.743984188E-08
0.1735000015;  1.156144977E-07
0.1740000015;  1.268686214E-07
0.1745000015;  1.253586440E-07
0.1750000015;  1.183577772E-07
0.1755000015;  1.102642052E-07
0.1760000015;  1.001329307E-07
0.1765000015;  8.474447392E-08
0.1770000015;  8.129398731E-08
0.1775000015;  8.930210542E-08
0.1780000015;  8.022325855E-08
0.1785000016;  7.042057837E-08
0.1790000016;  6.767190912E-08
0.1795000016;  5.746870601E-08
0.1800000016;  5.552578728E-08
0.1805000016;  6.367088201E-08
0.1810000016;  7.425163264E-08
0.1815000016;  9.301187616E-08
0.1820000016;  1.172320426E-07
0.1825000016;  1.331139262E-07
0.1830000016;  1.291637354E-07
0.1835000016;  1.081898808E-07
0.1840000016;  7.924523647E-08
0.1845000016;  5.030702036E-08
0.1850000016;  4.134472692E-08
0.1855000016;  6.106860597E-08
0.1860000016;  9.286348860E-08
0.1865000016;  1.158501386E-07
0.1870000016;  1.207220164E-07
0.1875000016;  1.155984729E-07
0.1880000016;  1.063222712E-07
0.1885000016;  9.281327741E-08
0.1890000016;  7.909468829E-08
0.1895000016;  6.990482401E-08
0.1900000017;  6.961376617E-08
0.1905000017;  7.973971811E-08
0.1910000017;  9.546350590E-08
0.1915000017;  1.091925765E-07
0.1920000017;  1.162122928E-07
0.1925000017;  1.181429983E-07
0.1930000017;  1.215110507E-07
0.1935000017;  1.294389770E-07
0.1940000017;  1.401360449E-07
0.1945000017;  1.508640082E-07
0.1950000017;  1.567734560E-07
0.1955000017;  1.443116777E-07
0.1960000017;  9.992841982E-08
0.1965000017;  4.634115100E-08
0.1970000017;  2.261315019E-08
0.1975000017;  2.944425950E-08
0.1980000017;  5.357280504E-08
0.1985000017;  8.862402397E-08
0.1990000017;  1.212497995E-07
0.1995000017;  1.419780851E-07
0.2000000017;  1.489440895E-07
0.2005000017;  1.444433082E-07
0.2010000017;  1.346851215E-07
